 INFO  Accepting connections at http://localhost:8081
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 GET /login.html
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 Returned 301 in 32 ms
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 GET /login
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 GET /assets/flux-logo.svg
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 GET /js/auth-shared.js?v=2.0.2
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 GET /js/firebase-config.js?v=2.0.2
 HTTP  5/24/2026 2:40:27 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/24/2026 2:40:27 AM ::1 GET /login
 HTTP  5/24/2026 2:40:27 AM ::1 Returned 200 in 1 ms
 HTTP  5/24/2026 2:40:27 AM ::1 GET /assets/flux-logo.svg
 HTTP  5/24/2026 2:40:27 AM ::1 Returned 200 in 1 ms
 HTTP  5/24/2026 2:40:27 AM ::1 GET /js/auth-shared.js?v=2.0.2
 HTTP  5/24/2026 2:40:27 AM ::1 Returned 200 in 1 ms
 HTTP  5/24/2026 2:40:27 AM ::1 GET /js/firebase-config.js?v=2.0.2
 HTTP  5/24/2026 2:40:27 AM ::1 Returned 200 in 1 ms
 HTTP  5/24/2026 2:40:27 AM ::1 GET /assets/flux-favicon.svg
 HTTP  5/24/2026 2:40:27 AM ::1 Returned 200 in 4 ms
 HTTP  5/24/2026 2:40:27 AM ::1 GET /assets/flux-favicon.svg
 HTTP  5/24/2026 2:40:27 AM ::1 Returned 304 in 0 ms
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 GET /login.html
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 GET /login
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 GET /assets/flux-logo.svg
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 GET /js/auth-shared.js?v=2.0.2
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 GET /js/firebase-config.js?v=2.0.2
 HTTP  5/24/2026 2:43:20 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/24/2026 2:43:20 AM ::1 GET /login
 HTTP  5/24/2026 2:43:20 AM ::1 Returned 200 in 2 ms
 HTTP  5/24/2026 2:43:20 AM ::1 GET /assets/flux-logo.svg
